group_url;group_name;subscribers;category;description;group_id
https://vk.com/club127872176;Частное сообщество;0.0;Без категории;;127872176
https://vk.com/club128108435;"Полжизни я пропил, полжизни пропью";107746.0;Фотограф;;128108435
https://vk.com/club128237068;Главные новости нефти и газа;18752.0;Бизнес;"Нефть и Капитал Oilcapital.ru - главные новости нефти и газа, аналитические обзоры, комментарии экспертов нефтегазовой отрасли, новости компаний Роснефть, Газпром и Газпром нефть, ЛУКОЙЛ, НОВАТЭК, Сургутнефтегаз, Зарубежнефть, ННК, Русснефть и другие.";128237068
https://vk.com/club129107347;Не ТВ;0.0;Данный материал заблокирован на территории Российской Федерации на основании требования Генеральной прокуратуры РФ от 24.02.2022 № 27-31-2020/Ид2145-22;Данный материал заблокирован на территории Российской Федерации на основании требования Генеральной прокуратуры РФ от 24.02.2022 № 27-31-2020/Ид2145-22;129107347
https://vk.com/club129206763;N O F O G E T | FILM photos;80488.0;Фотография;Ночь - мое любимое время года	№ 4984231377;129206763
https://vk.com/club129276619;Геологи;21214.0;Группа коллег;ЧАТ: t.me/geolchat		Группа была создана на волне отстаивания самостоятельности МГРИ-РГГРУ при его попытке слияния с РГУ нефти и газа. Сегодня мы сообщество ведущих специалистов отрасли. 	Ты еще не с нами? -Пора это исправить.		Где нас искать:	ok.ru/group/55028250247243	twitter.com/GeologiRussia	t.me/geologorazvedochnij	www.youtube.com/channel/UCjUl7Z0SYHnevxwtMQIuL7A/videos		Дата основания: 23 сентября 2016		Геология наше все! Если ты геолог- тебе к нам);129276619
https://vk.com/club129359560;Нефтегазовое образование;7122.0;Обучающие курсы;"организация, проведение и подбор учебных курсов для руководителей и специалистов нефтегазовой промышленности";129359560
https://vk.com/club129649627;RevaTravel Туры по Алтаю | Веломастерская;4741.0;"Туры, экскурсии",Знакомим с Алтаем и кормим самым вкусным борщом		Велосипедные	Пешие	Комбинированные	Автобусные туры	Выезд из г. Барнаул		 revatravel.ru;129649627
https://vk.com/club129853024;Wild Trail;15151.0;Лёгкая атлетика,Спортивные open air фестивали;129853024
https://vk.com/club130023098;KOSMO;111352.0;Образование;"Космо - это интересный и познавательный канал, здесь вы можете увидеть тайны и загадки нашей необъятной вселенной, а может и не нашей...		➥ Youtube - bit.ly/SUBTOKOSMO	➥ Наш космический Telegram - t.me/kosmo_off	➥ Яндекс Дзен - dzen.ru/off_kosmo	➥ Сотрудничество - okosmo.pdt@gmail.com		➥ Поддержать на Youtube - www.youtube.com/@off_kosmo/join	➥ Поддержать на Boosty - boosty.to/off_kosmo		№ 5105600997";130023098
